PROLIFIC_ID,Consent,nationality,country,resident,FFQ_1,FFQ_2,FFQ_3,FFQ_4,FFQ_5,FFQ_6,FFQ_7,FFQ_8,FFQ_9,FFQ_10,FFQ_11,FFQ_12,FFQ_13,FFQ_14,FFQ_15,interest_T1,attitude_T1,intentionuni_T1,intentionbi_T1,cons_now_perc,cons_next_perc,cons_six_perc,man_check,politics,age,gender,veg,condition,format,norm_info,interest_T2,attitude_T2,intentionuni_T2,intentionbi_T2,FFQ_T2_1,FFQ_T2_2,FFQ_T2_3,FFQ_T2_4,FFQ_T2_5,FFQ_T2_6,FFQ_T2_7,FFQ_T2_8,FFQ_T2_9,FFQ_T2_10,FFQ_T2_11,FFQ_T2_12,FFQ_T2_13,FFQ_T2_14,FFQ_T2_15,think_reduce,why_think,active_reduce,cons_proj,cons_proj_c,FFQ_T1_meat,genderbi,age_c,prob_time,read_time,complete
0VjQNKTDgP,"Yes, I am over 18 years old, and I consent to take part in this study",British,English,Yes,2,3,0,4,1,1,0,5,6,21,4,2,0,3,1,69,83,62,52,34,54,76,People are eating about the same amount of meat,2,52,Female,No,dy_graph,visual,dynamic,81,77,79,51,4,1,0,4,0,0,0,5,21,21,3,1,0,4,2,Yes,I ate more fish dishes,No,54.666666666666664,13.43044444444444,9,Female,12.582388258839224,0,120.794,1
0xy8erxVAA,"Yes, I am over 18 years old, and I consent to take part in this study",British,English,Yes,21,14,0,7,14,7,5,14,21,21,3,7,0,28,0,100,0,0,51,19,29,60,People are eating about the same amount of meat,5,19,Male,No,none,none,none,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,-5.236222222222224,47,Male,-20.417611741160776,0,4.471,0
0Y62JxsE9X,"Yes, I am over 18 years old, and I consent to take part in this study",British,Scottish,Yes,7,0,0,1,0,0,0,4,5,14,6,7,3,7,1,100,100,100,50,31,41,60,People are eating about the same amount of meat,3,43,Female,Yes,st_graph,visual,static,100,100,100,51,4,0,0,0,0,0,0,5,6,14,3,6,3,6,1,Yes,I have no had any,Yes,44,2.7637777777777757,1,Female,3.5823882588392237,0,11.913,1
0YtkZjrml4,"Yes, I am over 18 years old, and I consent to take part in this study",British,English,Yes,14,2,0,4,1,0,0,2,21,14,14,3,4,7,2,70,77,70,51,42,58,75,More people are eating less meat,3,62,Male,No,dy_graph,visual,dynamic,80,79,79,34,7,3,0,4,1,0,0,3,14,21,21,3,2,7,2,Yes,Just thinking back over the meals we had,Yes,58.333333333333336,17.09711111111111,7,Male,22.582388258839224,0,17.775,1
1045Z9H4II,"Yes, I am over 18 years old, and I consent to take part in this study",British,English,Yes,6,5,2,1,3,3,1,4,5,6,7,3,2,2,3,14,34,25,75,21,53,73,More people are eating less meat,3,26,Male,No,none,none,none,39,30,44,43,5,1,5,4,1,2,3,6,6,4,7,5,2,14,3,Yes,Proactively trying to change,Yes,49,7.763777777777776,15,Male,-13.417611741160776,0,1.584,1
11HZEoL0Vj,"Yes, I am over 18 years old, and I consent to take part in this study",British,English,Yes,14,1,0,0,1,1,0,0,3,4,0,1,1,2,0,76,82,75,63,36,40,52,People are eating about the same amount of meat,3,24,Male,No,st_graph,visual,static,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.666666666666664,1.43044444444444,3,Male,-15.417611741160776,0,41.601,0
12Gg1TetxL,"Yes, I am over 18 years old, and I consent to take part in this study",British,Scottish,Yes,7,2,0,1,0,2,0,2,14,7,0,0,0,14,0,63,61,55,43,25,37,50,More people are eating less meat,3,37,Female,No,st_text,text,static,56,64,73,48,7,3,0,0,1,0,0,2,7,14,0,2,0,2,0,Yes,Some meat free meals,No,37.333333333333336,-3.9028888888888886,5,Female,-2.4176117411607763,0,16.386,1
14hSQH90yQ,"Yes, I am over 18 years old, and I consent to take part in this study",British,English,Yes,7,5,1,0,1,0,0,1,2,2,0,1,0,5,0,53,62,77,70,40,64,75,More people are eating less meat,4,33,Female,No,none,none,none,51,67,67,54,7,4,1,0,0,0,0,1,2,2,1,1,0,7,1,Yes,I can't afford meat,No,59.666666666666664,18.43044444444444,7,Female,-6.417611741160776,0,12.366,1
14JiFh6A2c,"Yes, I am over 18 years old, and I consent to take part in this study",British,English,Yes,5,2,0,1,0,1,0,4,1,1,0,0,0,3,0,15,26,14,51,20,25,35,More people are eating less meat,2,25,Male,No,none,none,none,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.666666666666668,-14.569555555555556,4,Male,-14.417611741160776,0,1.787,0
15Czb8AiS1,"Yes, I am over 18 years old, and I consent to take part in this study",British,English,Yes,14,14,1,1,1,4,1,7,5,21,1,0,1,7,3,9,29,5,73,35,40,70,More people are eating less meat,4,20,Female,No,st_text,text,static,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.333333333333336,7.097111111111111,22,Female,-19.417611741160776,0,13.197,0
19mfL2vIBG,"Yes, I am over 18 years old, and I consent to take part in this study",British,English,Yes,14,4,1,1,2,1,1,2,14,21,1,1,1,4,1,67,67,73,50,50,55,70,More people are eating less meat,2,51,Female,No,dy_text,text,dynamic,66,70,68,46,5,4,1,1,2,1,0,0,21,21,1,1,0,4,0,No,I think I ate the same amount of meat that I usually do,No,58.333333333333336,17.09711111111111,10,Female,11.582388258839224,0,15.73,1
1BcIOH4ewf,"Yes, I am over 18 years old, and I consent to take part in this study",British,English,Yes,1,1,0,0,0,0,0,0,0,7,1,2,0,3,0,100,100,100,85,33,36,41,People are eating about the same amount of meat,1,31,Female,No,st_graph,visual,static,100,100,91,17,1,1,0,0,0,0,0,0,0,7,0,7,0,7,0,Yes,"In effort to budget and eat more healthily, I have been eating out less at restaurants (which is the only time I consume meat).",No,36.666666666666664,-4.56955555555556,1,Female,-8.417611741160776,0,21.511,1
1bkYp1ik7A,"Yes, I am over 18 years old, and I consent to take part in this study",British,English,Yes,14,7,2,1,0,0,0,6,14,14,3,1,3,5,0,57,56,80,67,40,44,57,More people are eating less meat,3,33,Female,No,st_text,text,static,65,56,84,21,7,6,0,0,0,0,0,14,21,21,21,5,6,6,0,Yes,I bought quorn instead,Yes,47,5.763777777777776,10,Female,-6.417611741160776,0,12.859,1
1bt8KQDRON,"Yes, I am over 18 years old, and I consent to take part in this study",British,English,Yes,7,3,0,1,2,1,0,0,1,2,3,0,0,3,0,25,28,25,51,35,38,50,People are eating about the same amount of meat,3,50,Male,No,st_graph,visual,static,8,12,9,50,5,1,0,1,2,1,1,0,2,2,4,0,0,3,0,No,Similar to previous weeks,No,41,-0.23622222222222433,7,Male,10.582388258839224,0,20.549,1
1C98LbQSpF,"Yes, I am over 18 years old, and I consent to take part in this study",British,Scottish,Yes,28,7,2,0,2,5,0,7,28,28,1,6,5,14,0,79,75,70,59,30,50,63,More people are eating less meat,2,57,Female,No,st_graph,visual,static,72,88,70,62,14,6,0,0,1,1,0,7,14,21,3,2,1,5,0,Yes,I had a different set of meals,No,47.666666666666664,6.43044444444444,16,Female,17.582388258839224,0,27.798,1
1dEi030thm,"Yes, I am over 18 years old, and I consent to take part in this study",British,English,Yes,3,1,0,1,2,0,0,2,4,4,1,0,0,4,0,62,52,45,52,40,43,50,More people are eating less meat,2,27,Male,No,dy_graph,visual,dynamic,35,61,51,51,3,1,0,0,1,0,0,3,3,5,0,0,0,4,0,No,i did not change my diet much over the last week,No,44.333333333333336,3.0971111111111114,4,Male,-12.417611741160776,0,18.535,1
1fPpR3KOhm,"Yes, I am over 18 years old, and I consent to take part in this study",British,English,Yes,21,7,0,3,0,2,2,3,7,14,4,5,0,14,0,12,33,21,48,59,67,79,More people are eating less meat,3,34,Male,No,dy_text,text,dynamic,6,11,18,49,14,5,0,3,2,4,1,4,7,14,3,2,0,7,0,No,NA,No,68.33333333333333,27.097111111111104,14,Male,-5.417611741160776,0,6.631,1
1I5TA7tCp4,"Yes, I am over 18 years old, and I consent to take part in this study",British,English,Yes,0,5,0,1,0,1,0,1,0,1,0,0,0,5,0,0,0,0,62,10,10,40,More people are eating less meat,4,29,Female,No,dy_graph,visual,dynamic,0,0,0,62,1,7,0,1,0,0,0,0,0,1,1,0,0,1,0,No,I ate the normal amount of meat for me.,No,20,-21.236222222222224,7,Female,-10.417611741160776,0,13.934,1
1ipQ2TqsWJ,"Yes, I am over 18 years old, and I consent to take part in this study",British,English,Yes,4,1,0,0,1,1,0,4,4,4,1,1,0,5,0,22,29,17,51,15,16,28,More people are eating less meat,5,64,Female,No,st_graph,visual,static,22,29,47,50,5,1,0,0,1,1,0,0,2,2,0,0,0,1,0,No,NA,No,19.666666666666668,-21.569555555555556,3,Female,24.582388258839224,0,19.632,1
1jCP1P9Ac2,"Yes, I am over 18 years old, and I consent to take part in this study",British,English,Yes,14,3,0,1,1,1,1,2,3,3,0,1,2,3,0,0,11,0,50,25,28,38,More people are eating less meat,5,27,Male,No,st_text,text,static,6,11,11,74,4,2,0,1,1,1,1,2,2,2,0,0,0,7,0,No,"If i see it in my fridge, I'll eat it.",No,30.333333333333332,-10.902888888888892,7,Male,-12.417611741160776,0,23.138,1
1K4aZdZ7DB,"Yes, I am over 18 years old, and I consent to take part in this study",British,English,Yes,4,4,0,2,3,4,1,2,5,4,0,3,1,5,0,69,55,82,35,31,21,27,More people are eating less meat,5,24,Male,No,st_text,text,static,77,66,50,50,4,2,0,1,0,3,0,2,4,4,0,4,1,4,1,Yes,I think that I reduced my meat consumption this week as I ate more vegetarian based meals,No,26.333333333333332,-14.902888888888892,14,Male,-15.417611741160776,0,7.991,1
1mgVDJzgLf,"Yes, I am over 18 years old, and I consent to take part in this study",British,English,Yes,7,2,0,4,1,1,0,2,7,4,0,0,0,2,0,12,11,13,66,10,12,20,Fewer people are eating less meat,4,54,Female,No,none,none,none,20,30,18,46,6,2,0,4,0,1,0,2,7,3,0,0,0,2,0,No,NA,No,14,-27.236222222222224,8,Female,14.582388258839224,0,19.045,1
1NNQhVtdfz,"Yes, I am over 18 years old, and I consent to take part in this study",British,English,Yes,7,5,1,2,1,1,0,0,14,4,0,0,1,4,1,81,75,91,32,16,21,32,More people are eating less meat,3,45,Male,No,dy_graph,visual,dynamic,91,100,95,45,5,5,0,1,2,0,0,2,4,2,0,0,0,4,0,No,On holiday so enjoying the local cuisine,No,23,-18.236222222222224,10,Male,5.582388258839224,0,14.562,1
1o20SNLaU7,"Yes, I am over 18 years old, and I consent to take part in this study",British,English,Yes,14,2,0,2,1,1,1,2,3,4,1,1,0,2,0,37,61,26,50,20,10,20,More people are eating less meat,4,36,Male,No,st_graph,visual,static,64,82,27,51,14,3,0,3,1,1,1,2,3,4,1,1,0,4,0,No,"I have maintained my normal diet of mixed meat, fish and vegetable dishes",No,16.666666666666668,-24.569555555555556,7,Male,-3.4176117411607763,0,10.592,1
1OuKVZxxvN,"Yes, I am over 18 years old, and I consent to take part in this study",British,English,Yes,5,3,0,1,2,0,0,0,14,14,0,0,0,14,5,56,86,51,53,33,40,70,People are eating about the same amount of meat,1,20,Other,No,st_graph,visual,static,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.666666666666664,6.43044444444444,6,NA,-19.417611741160776,0,20.428,0
1oYjZ2ryn6,"Yes, I am over 18 years old, and I consent to take part in this study",British,Scottish,Yes,5,2,0,3,2,1,0,4,14,14,1,3,1,2,0,50,81,69,51,30,55,75,More people are eating less meat,3,35,Male,No,st_graph,visual,static,42,77,62,50,3,2,0,3,1,0,0,1,7,7,1,3,0,7,0,No,I stick to a routine so I know I eat the same amount each week at the moment,No,53.333333333333336,12.097111111111111,8,Male,-4.417611741160776,0,9.683,1
1RhDa06vik,"Yes, I am over 18 years old, and I consent to take part in this study",British,English,Yes,6,5,0,2,0,2,0,4,6,4,4,2,0,4,0,54,47,30,51,30,30,53,More people are eating less meat,3,48,Male,No,st_graph,visual,static,58,65,62,33,2,3,1,1,0,1,0,2,5,1,3,0,0,0,0,Yes,just chose not to eat it,No,37.666666666666664,-3.56955555555556,9,Male,8.582388258839224,0,9.524,1
1RlGV11Udq,"Yes, I am over 18 years old, and I consent to take part in this study",British,English,Yes,7,1,0,1,1,3,1,7,7,14,1,4,0,14,7,86,99,100,33,71,90,90,More people are eating less meat,4,40,Female,No,dy_text,text,dynamic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83.66666666666667,42.43044444444445,7,Female,0.5823882588392237,0,19.881,0
1td5lu89Q4,"Yes, I am over 18 years old, and I consent to take part in this study",British,English,Yes,14,4,1,0,2,0,0,1,3,2,0,0,0,14,0,18,39,25,50,33,40,50,More people are eating less meat,2,26,Female,No,st_text,text,static,19,30,18,50,14,5,2,1,0,0,0,2,4,2,0,1,0,14,0,No,NA,No,41,-0.23622222222222433,7,Female,-13.417611741160776,0,10.45,1
1tp9yPrwC4,"Yes, I am over 18 years old, and I consent to take part in this study",British,English,Yes,0,2,0,0,2,0,0,0,0,2,0,0,0,2,0,0,15,0,50,33,40,50,People are eating about the same amount of meat,6,25,Male,No,dy_text,text,dynamic,0,0,0,52,7,1,0,1,1,1,0,0,0,2,0,0,0,3,0,No,I continued my usual levels,No,41,-0.23622222222222433,4,Male,-14.417611741160776,0,46.019,1
