PROLIFIC_ID,StartDate.x,EndDate.x,Status.x,Progress.x,Duration (in seconds).x,Finished.x,RecordedDate.x,ResponseId.x,DistributionChannel.x,UserLanguage.x,Consent,nationality,country,resident,FFQ_1,FFQ_2,FFQ_3,FFQ_4,FFQ_5,FFQ_6,FFQ_7,FFQ_8,FFQ_9,FFQ_10,FFQ_11,FFQ_12,FFQ_13,FFQ_14,FFQ_15,norm_time_First Click,norm_time_Last Click,norm_time_Page Submit,norm_time_Click Count,interest_T1_1,attitude_T1_1,intentionuni_T1_1,intentionbi_T1_1,cons_now_perc_1,cons_next_perc_1,cons_six_perc_1,man_check,politics_1,age,gender,veg,PROLIFIC_PID.x,condition,format,norm_info,StartDate.y,EndDate.y,Status.y,Progress.y,Duration (in seconds).y,Finished.y,RecordedDate.y,ResponseId.y,DistributionChannel.y,UserLanguage.y,interest_T2_1,attitude_T2_1,intentionuni_T2_1,intentionbi_T2_1,FFQ_T2_1,FFQ_T2_2,FFQ_T2_3,FFQ_T2_4,FFQ_T2_5,FFQ_T2_6,FFQ_T2_7,FFQ_T2_8,FFQ_T2_9,FFQ_T2_10,FFQ_T2_11,FFQ_T2_12,FFQ_T2_13,FFQ_T2_14,FFQ_T2_15,think_reduce,why_think,active_reduce,PROLIFIC_PID.y
0HfD1Skx6B,2022-07-07T14:42:09Z,2022-07-07T14:45:14Z,IP Address,100,184,TRUE,2022-07-07T14:45:14Z,R_3rODnEQOfjd7Lpi,anonymous,EN-GB,"Yes, I am over 18 years old, and I consent to take part in this study",British,English,Yes,Seven times,Three times,Never,Never,Once (during those 7 days),Twice,Once (during those 7 days),2 times per day,Five times,Six times,Once (during those 7 days),Once (during those 7 days),Never,2 times per day,Never,0,0,8.369,0,51,57,55,52,15,19,35,More people are eating less meat,4,25,Female,No,613b36fbcb6c33f4175f3deb,dy_text,text,dynamic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0hjuKjjDQ8,2022-07-07T21:28:28Z,2022-07-07T21:33:08Z,IP Address,100,279,TRUE,2022-07-07T21:33:08Z,R_26gb7SRJF9iu2zn,anonymous,EN-GB,"Yes, I am over 18 years old, and I consent to take part in this study",British,English,Yes,2 times per day,Five times,Never,Never,Once (during those 7 days),Never,Never,Never,Twice,Three times,Never,Never,Never,Never,Never,0,0,52.674,0,39,72,51,50,76,65,85,People are eating about the same amount of meat,2,22,Male,No,5ef40a3ceb5b661c164551c4,st_graph,visual,static,2022-07-14T19:40:43Z,2022-07-14T19:42:05Z,IP Address,100,81,TRUE,2022-07-14T19:42:05Z,R_3J8ZVU9Zh5lzeFB,anonymous,EN-GB,34,50,4,50,3 times per day,Twice,Never,Once (during those 7 days),Once (during those 7 days),Never,Never,Three times,Four times,Three times,Once (during those 7 days),Never,Never,Three times,Never,No,i didnt change what i intended to have,No,5ef40a3ceb5b661c164551c4
0J5uny7ZtL,2022-07-07T20:24:23Z,2022-07-07T20:26:16Z,IP Address,100,113,TRUE,2022-07-07T20:26:17Z,R_3il0EUv5QKrx0Ja,anonymous,EN-GB,"Yes, I am over 18 years old, and I consent to take part in this study",British,English,Yes,Seven times,Six times,Five times,Four times,Five times,Four times,Three times,Twice,Five times,Six times,Seven times,Five times,Four times,Six times,Five times,0,0,6.041,0,28,69,16,67,30,17,22,More people are eating less meat,4,38,Male,No,6145135f01ab17bf41e67820,dy_text,text,dynamic,2022-07-15T05:24:03Z,2022-07-15T05:25:24Z,IP Address,100,81,TRUE,2022-07-15T05:25:24Z,R_vUC8hwzGTbfOC0F,anonymous,EN-GB,10,50,22,51,Four times,Four times,Three times,Twice,Three times,Twice,Once (during those 7 days),Once (during those 7 days),Three times,Three times,Three times,Three times,Never,Twice,Never,No,I don't think about it,No,6145135f01ab17bf41e67820
0jIV2gaFGa,2022-07-07T14:36:38Z,2022-07-07T14:39:25Z,IP Address,100,166,TRUE,2022-07-07T14:39:25Z,R_3gXv2r7yHzW61o7,anonymous,EN-GB,"Yes, I am over 18 years old, and I consent to take part in this study",British,English,Yes,2 times per day,Five times,Never,Once (during those 7 days),Once (during those 7 days),Once (during those 7 days),Never,Once (during those 7 days),Seven times,3 times per day,Once (during those 7 days),Once (during those 7 days),Never,2 times per day,Never,0,0,6.621,0,54,70,67,49,25,33,52,More people are eating less meat,3,28,Female,No,6146fc823ef8e1b1b5fe0245,st_text,text,static,2022-07-14T14:57:31Z,2022-07-14T15:00:31Z,IP Address,100,179,TRUE,2022-07-14T15:00:31Z,R_1j9OsdvBcATUtky,anonymous,EN-GB,58,68,65,42,2 times per day,Four times,Never,Twice,Once (during those 7 days),Never,Never,Once (during those 7 days),Five times,2 times per day,Never,Once (during those 7 days),Never,Seven times,Never,No,ate the same type of food as usual,No,6146fc823ef8e1b1b5fe0245
0KgpS1nrJl,2022-07-08T21:01:52Z,2022-07-08T21:08:33Z,IP Address,100,400,TRUE,2022-07-08T21:08:33Z,R_3JE4Q28Y04ZzE6l,anonymous,EN-GB,"Yes, I am over 18 years old, and I consent to take part in this study",British,Scottish,Yes,Seven times,Four times,Never,Never,Once (during those 7 days),Twice,Never,Twice,Seven times,Seven times,Once (during those 7 days),Never,Never,Five times,Never,0,0,10.61,0,82,66,76,59,31,43,46,More people are eating less meat,1,40,Female,No,5fef3d23f0b5edd6fabe8e64,dy_text,text,dynamic,2022-07-15T13:00:09Z,2022-07-15T13:02:11Z,IP Address,100,122,TRUE,2022-07-15T13:02:12Z,R_1gqKVz6cNoLR3DR,anonymous,EN-GB,57,51,59,59,Twice,Once (during those 7 days),Never,Once (during those 7 days),Twice,Once (during those 7 days),Never,Once (during those 7 days),Five times,Four times,Never,Once (during those 7 days),Never,Twice,Once (during those 7 days),Yes,I think the weather impacts what i eat and i just havent felt like eating meat,Yes,5fef3d23f0b5edd6fabe8e64
0NbOJHSF6d,2022-07-07T14:36:40Z,2022-07-07T14:42:42Z,IP Address,100,362,TRUE,2022-07-07T14:42:43Z,R_Rlb3WeY3BSXPmJH,anonymous,EN-GB,"Yes, I am over 18 years old, and I consent to take part in this study",British,English,Yes,2 times per day,Never,Never,Once (during those 7 days),Never,Never,Never,Once (during those 7 days),Seven times,2 times per day,Six times,Three times,Four times,2 times per day,Twice,0,0,8.596,0,91,98,96,87,45,53,60,More people are eating less meat,1,29,Other,Yes,58545249cceb5b0001e4875a,none,none,none,2022-07-14T15:47:34Z,2022-07-14T15:50:38Z,IP Address,100,184,TRUE,2022-07-14T15:50:39Z,R_2bT2y70hmiRa5rA,anonymous,EN-GB,79,87,77,84,2 times per day,Never,Never,Once (during those 7 days),Never,Never,Never,Once (during those 7 days),Five times,2 times per day,Four times,Three times,Twice,Six times,Once (during those 7 days),No,I rarely eat meat,No,58545249cceb5b0001e4875a
0nICffJehV,2022-07-08T21:22:15Z,2022-07-08T21:25:25Z,IP Address,100,189,TRUE,2022-07-08T21:25:25Z,R_1pYT1zxBFJrs3N2,anonymous,EN-GB,"Yes, I am over 18 years old, and I consent to take part in this study",British,English,Yes,Twice,Once (during those 7 days),Never,Twice,Once (during those 7 days),Never,Never,Twice,Six times,Seven times,Once (during those 7 days),Three times,Never,Seven times,Never,0,0,9.964,0,6,17,7,49,25,18,20,People are eating about the same amount of meat,4,49,Male,No,57655a2aea19ef00016351cf,st_graph,visual,static,2022-07-15T12:20:38Z,2022-07-15T12:22:05Z,IP Address,100,87,TRUE,2022-07-15T12:22:05Z,R_1QrOGN62SyAn9n8,anonymous,EN-GB,20,83,21,51,Seven times,Once (during those 7 days),Never,Twice,Three times,Never,Never,Three times,Six times,Seven times,Twice,Three times,Never,Twice,Never,No,I never willingly switched from meat to something else,No,57655a2aea19ef00016351cf
0nZhkNUDnM,2022-07-08T20:42:52Z,2022-07-08T20:48:47Z,IP Address,100,355,TRUE,2022-07-08T20:48:47Z,R_1gBJkTN0nVrZs1W,anonymous,EN-GB,"Yes, I am over 18 years old, and I consent to take part in this study",British,Scottish,Yes,Twice,Twice,Never,Never,Three times,Never,Once (during those 7 days),Never,Never,Three times,Twice,Never,Never,Four times,Never,0,0,6.894,0,24,48,50,49,10,10,10,People are eating about the same amount of meat,4,25,Female,No,5e15d913a98a7abe70ae7413,none,none,none,2022-07-15T15:25:16Z,2022-07-15T15:27:57Z,IP Address,100,160,TRUE,2022-07-15T15:27:57Z,R_12KcqEHwaXkzLFg,anonymous,EN-GB,23,50,52,51,Five times,Twice,Never,Never,Five times,Once (during those 7 days),Never,Never,Once (during those 7 days),Five times,Three times,Never,Never,Five times,Never,No,NA,No,5e15d913a98a7abe70ae7413
0O1Y6LyV0b,2022-07-07T19:58:04Z,2022-07-07T20:01:15Z,IP Address,100,190,TRUE,2022-07-07T20:01:15Z,R_1EZPKDoYanlDiiC,anonymous,EN-GB,"Yes, I am over 18 years old, and I consent to take part in this study",British,English,Yes,Six times,Four times,Never,Once (during those 7 days),Never,Never,Never,Five times,Three times,Six times,Twice,Four times,Three times,Five times,Five times,0,0,12.014,0,100,98,77,50,33,45,60,More people are eating less meat,3,41,Male,No,56da175a610fc0000cb65827,st_text,text,static,2022-07-14T14:07:51Z,2022-07-14T14:09:31Z,IP Address,100,99,TRUE,2022-07-14T14:09:31Z,R_ONk5mbZq81Gjq0N,anonymous,EN-GB,100,100,100,49,Five times,Twice,Never,Once (during those 7 days),Never,Never,Once (during those 7 days),Twice,Five times,Five times,Once (during those 7 days),Three times,Twice,Three times,Three times,Yes,I'm just trying to recall the meals I had,No,56da175a610fc0000cb65827
0pb8F0kUYC,2022-07-07T14:47:28Z,2022-07-07T14:51:51Z,IP Address,100,262,TRUE,2022-07-07T14:51:51Z,R_W8wiTnp8nOM9PLr,anonymous,EN-GB,"Yes, I am over 18 years old, and I consent to take part in this study",British,English,Yes,4 or more times per day,2 times per day,Never,Twice,Once (during those 7 days),Three times,Never,Three times,4 or more times per day,4 or more times per day,Three times,Twice,Never,4 or more times per day,Never,0,0,14.142,0,50,78,76,33,30,35,60,More people are eating less meat,4,37,Male,No,5ce3af911a90fb0015fcaec7,dy_graph,visual,dynamic,2022-07-15T08:12:21Z,2022-07-15T08:14:32Z,IP Address,100,130,TRUE,2022-07-15T08:14:32Z,R_2cbz9WJbTLRHxAI,anonymous,EN-GB,58,100,65,70,3 times per day,Seven times,Never,Three times,Never,Three times,Never,Twice,Seven times,Seven times,Never,Twice,Never,Seven times,Three times,No,It was t planned to be,No,5ce3af911a90fb0015fcaec7
